nohup: ignoring input
Fetched 3524 repository IDs
100/3524 processed (100 ok, 0 failed)
200/3524 processed (200 ok, 0 failed)
300/3524 processed (300 ok, 0 failed)
400/3524 processed (400 ok, 0 failed)
500/3524 processed (500 ok, 0 failed)
600/3524 processed (600 ok, 0 failed)
700/3524 processed (700 ok, 0 failed)
800/3524 processed (800 ok, 0 failed)
900/3524 processed (900 ok, 0 failed)
1000/3524 processed (1000 ok, 0 failed)
1100/3524 processed (1100 ok, 0 failed)
1200/3524 processed (1200 ok, 0 failed)
1300/3524 processed (1300 ok, 0 failed)
1400/3524 processed (1400 ok, 0 failed)
1500/3524 processed (1500 ok, 0 failed)
1600/3524 processed (1600 ok, 0 failed)
1700/3524 processed (1700 ok, 0 failed)
1800/3524 processed (1800 ok, 0 failed)
1900/3524 processed (1900 ok, 0 failed)
2000/3524 processed (2000 ok, 0 failed)
2100/3524 processed (2100 ok, 0 failed)
2200/3524 processed (2200 ok, 0 failed)
2300/3524 processed (2300 ok, 0 failed)
2400/3524 processed (2400 ok, 0 failed)
2500/3524 processed (2500 ok, 0 failed)
2600/3524 processed (2600 ok, 0 failed)
2700/3524 processed (2700 ok, 0 failed)
2800/3524 processed (2800 ok, 0 failed)
2900/3524 processed (2900 ok, 0 failed)
3000/3524 processed (3000 ok, 0 failed)
3100/3524 processed (3100 ok, 0 failed)
3200/3524 processed (3200 ok, 0 failed)
3300/3524 processed (3300 ok, 0 failed)
3400/3524 processed (3400 ok, 0 failed)
3500/3524 processed (3500 ok, 0 failed)
Done. 3524 succeeded, 0 failed. See ingest_failures.log for details.
